Date : 2021-06-22 20:40:38
Directory : /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts
Total : 84 files,  6712 codes, 139 comments, 868 blanks, all 7719 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Skills/HealSkill.cs                                 | C#       |         54 |          0 |          7 |         61 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Skills/Skill Animations/SkillAnimation.cs           | C#       |         89 |          0 |         16 |        105 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Skills/SkillCalculation.cs                          | C#       |         53 |          0 |          5 |         58 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Skills/SkillData.cs                                 | C#       |        600 |          4 |         40 |        644 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Skills/SkillPreview.cs                              | C#       |         17 |          0 |          1 |         18 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Skills/SkillStruct.cs                               | C#       |         20 |          0 |          1 |         21 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Skills/TargetSelections.cs                          | C#       |         17 |          0 |          2 |         19 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Status Effects/HasteStatus.cs                       | C#       |         31 |          0 |          7 |         38 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Status Effects/SleepStatus.cs                       | C#       |         74 |          2 |         10 |         86 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Status Effects/SlowStatus.cs                        | C#       |         30 |          0 |          6 |         36 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Status Effects/StatusEffect.cs                      | C#       |         10 |          0 |          3 |         13 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Units/AIBrain.cs                                    | C#       |        181 |         13 |         23 |        217 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Units/AIInstruction.cs                              | C#       |         12 |          0 |          1 |         13 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Units/AIJob.cs                                      | C#       |        200 |         13 |         13 |        226 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Units/EquipmentBlock.cs                             | C#       |        154 |          0 |          7 |        161 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Units/IDamageable.cs                                | C#       |         27 |          4 |          5 |         36 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Units/ITurnTaker.cs                                 | C#       |         17 |          0 |          5 |         22 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Units/SkillScore.cs                                 | C#       |         17 |          0 |          2 |         19 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Units/StatBlock.cs                                  | C#       |        203 |          0 |         11 |        214 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Units/UnitData.cs                                   | C#       |        406 |          2 |         63 |        471 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Custom Data/Units/UnitJob.cs                                    | C#       |         25 |          0 |          2 |         27 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/ArmorType.cs                                              | C#       |          6 |          0 |          0 |          6 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/BattleAnimation.cs                                        | C#       |         11 |          0 |          1 |         12 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/EquipmentSlot.cs                                          | C#       |          8 |          0 |          0 |          8 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/Faction.cs                                                | C#       |          5 |          0 |          0 |          5 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/MatchType.cs                                              | C#       |         11 |          0 |          2 |         13 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/RangeType.cs                                              | C#       |          9 |          0 |          2 |         11 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/Stat.cs                                                   | C#       |         21 |          0 |          1 |         22 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/TargetShape.cs                                            | C#       |         10 |          0 |          1 |         11 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/TargetType.cs                                             | C#       |         12 |          0 |          2 |         14 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/TileType.cs                                               | C#       |          8 |          0 |          0 |          8 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Enums/WeaponType.cs                                             | C#       |         14 |          0 |          0 |         14 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Managers/BattleManager.cs                                       | C#       |        433 |         14 |         52 |        499 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Managers/CellStruct.cs                                          | C#       |         11 |          0 |          2 |         13 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Managers/GameManager.cs                                         | C#       |        104 |          3 |         16 |        123 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Managers/GridCell.cs                                            | C#       |         48 |          1 |          6 |         55 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Managers/GridPositioner.cs                                      | C#       |         19 |          0 |          5 |         24 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Managers/MapBuilder.cs                                          | C#       |        329 |         20 |         51 |        400 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Managers/MapManager.cs                                          | C#       |        771 |         22 |        119 |        912 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Managers/RiverCard.cs                                           | C#       |         12 |          0 |          1 |         13 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Managers/TurnManager.cs                                         | C#       |        134 |          3 |         16 |        153 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Misc/AnimationExecuteSkill.cs                                   | C#       |         20 |          0 |          3 |         23 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Misc/Arcana.cs                                                  | C#       |         37 |          0 |          6 |         43 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Misc/EncounterBox.cs                                            | C#       |         55 |          0 |          7 |         62 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Misc/ModBool.cs                                                 | C#       |         15 |          0 |          4 |         19 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Misc/ModInt.cs                                                  | C#       |         24 |          0 |          4 |         28 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Misc/ToggleObstacle.cs                                          | C#       |         24 |          0 |          4 |         28 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Movement/CharacterMotor.cs                                      | C#       |        125 |         14 |         27 |        166 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Movement/CharacterUI.cs                                         | C#       |        131 |          1 |         21 |        153 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Movement/PopUp.cs                                               | C#       |         15 |          0 |          2 |         17 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/Movement/TacticsMotor.cs                                        | C#       |        276 |          4 |         44 |        324 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/BattleUI.cs                                                  | C#       |         46 |          1 |         10 |         57 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/CellUI.cs                                                    | C#       |         93 |          0 |         11 |        104 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/PredictedTurnsUI.cs                                          | C#       |         74 |          1 |         14 |         89 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/ResourceBarUI.cs                                             | C#       |         25 |          0 |          4 |         29 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/RiverCardUI.cs                                               | C#       |         72 |          0 |         12 |         84 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/RiverUI.cs                                                   | C#       |         55 |          2 |         10 |         67 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/SkillList.cs                                                 | C#       |         35 |          0 |          6 |         41 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/SkillListItem.cs                                             | C#       |         71 |          0 |         10 |         81 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/Tile.cs                                                      | C#       |        120 |          1 |         17 |        138 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/TurnControllerUI.cs                                          | C#       |         35 |          1 |          6 |         42 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/UILoader.cs                                                  | C#       |         21 |          0 |          3 |         24 |
| /Users/shawn.pelley/Projects/Unity/Project Arcana URP/Assets/Scripts/UI/UnitBattleUI.cs                                              | C#       |        295 |          2 |         33 |        330 |
| Total                                                                                                                                |          |      6,712 |        139 |        868 |      7,719 |
+--------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
